dato;produksjon
25.01.07;2276
26.01.07;2921
27.01.07;1721
28.01.07;413
29.01.07;1254
30.01.07;2355
31.01.07;1589
01.02.07;2938
02.02.07;3702
03.02.07;3159
04.02.07;2624
05.02.07;2717
06.02.07;601
07.02.07;798
08.02.07;1236
09.02.07;1579
10.02.07;1418
11.02.07;1335
12.02.07;1092
13.02.07;429
14.02.07;455
15.02.07;920
16.02.07;2297
17.02.07;829
18.02.07;1497
19.02.07;2145
20.02.07;4493
21.02.07;1955
22.02.07;1726
23.02.07;1980
24.02.07;1604
25.02.07;997
26.02.07;626
27.02.07;2010
28.02.07;2003
01.03.07;2546
02.03.07;1493
03.03.07;1660
04.03.07;1033
05.03.07;2260
06.03.07;3097
07.03.07;1702
08.03.07;1407
09.03.07;3319
10.03.07;4590
11.03.07;4611
12.03.07;3123
13.03.07;5537
14.03.07;5414
15.03.07;5125
16.03.07;5981
17.03.07;5147
18.03.07;2878
19.03.07;1504
20.03.07;4069
21.03.07;1016
22.03.07;2353
23.03.07;1985
24.03.07;813
25.03.07;1206
26.03.07;1501
27.03.07;1540
28.03.07;993
29.03.07;1442
30.03.07;2070
31.03.07;2335
01.04.07;4485
02.04.07;4722
03.04.07;3107
04.04.07;5905
05.04.07;5315
06.04.07;4871
07.04.07;4954
08.04.07;2241
09.04.07;1002
10.04.07;4440
11.04.07;3259
12.04.07;3919
13.04.07;3907
14.04.07;1718
15.04.07;1628
16.04.07;5630
17.04.07;3407
18.04.07;2532
19.04.07;4027
20.04.07;3053
21.04.07;600
22.04.07;2144
23.04.07;2554
24.04.07;1521
25.04.07;736
26.04.07;4343
27.04.07;3556
28.04.07;1096
29.04.07;1318
30.04.07;297
01.05.07;817
02.05.07;187
03.05.07;444
04.05.07;268
05.05.07;463
06.05.07;514
07.05.07;994
08.05.07;1930
09.05.07;1543
10.05.07;1608
11.05.07;1451
12.05.07;1111
13.05.07;529
14.05.07;1389
15.05.07;2989
16.05.07;2893
17.05.07;782
18.05.07;936
19.05.07;1263
20.05.07;5068
21.05.07;2110
22.05.07;2691
23.05.07;3300
24.05.07;3378
25.05.07;2602
26.05.07;1549
27.05.07;1868
28.05.07;3690
29.05.07;3027
30.05.07;3077
31.05.07;2511
01.06.07;1599
02.06.07;517
03.06.07;1386
04.06.07;723
05.06.07;3503
06.06.07;3607
07.06.07;1021
08.06.07;420
09.06.07;1669
10.06.07;1016
11.06.07;489
12.06.07;359
13.06.07;313
14.06.07;432
15.06.07;587
16.06.07;2461
17.06.07;4850
18.06.07;1103
19.06.07;1179
20.06.07;2530
21.06.07;2706
22.06.07;699
23.06.07;440
24.06.07;389
25.06.07;1061
26.06.07;1081
27.06.07;1177
28.06.07;3252
29.06.07;1237
30.06.07;2308
01.07.07;566
02.07.07;645
03.07.07;1425
04.07.07;2545
05.07.07;1423
06.07.07;2833
07.07.07;1937
08.07.07;1295
09.07.07;2481
10.07.07;2705
11.07.07;421
12.07.07;455
13.07.07;799
14.07.07;1201
15.07.07;598
16.07.07;1457
17.07.07;3279
18.07.07;2157
19.07.07;1051
20.07.07;545
21.07.07;1399
22.07.07;1111
23.07.07;1464
24.07.07;995
25.07.07;547
26.07.07;606
27.07.07;1386
28.07.07;1185
