,region,type,time,variable,value
3575,Trondheim,00 Boliger i alt,2010-12-01,"Prisindeks for brukte boliger, sesongjustert",74.3
3577,Trondheim,00 Boliger i alt,2011-03-01,"Prisindeks for brukte boliger, sesongjustert",76.6
3579,Trondheim,00 Boliger i alt,2011-06-01,"Prisindeks for brukte boliger, sesongjustert",79.1
3581,Trondheim,00 Boliger i alt,2011-09-01,"Prisindeks for brukte boliger, sesongjustert",80.4
3583,Trondheim,00 Boliger i alt,2011-12-01,"Prisindeks for brukte boliger, sesongjustert",83.5
3585,Trondheim,00 Boliger i alt,2012-03-01,"Prisindeks for brukte boliger, sesongjustert",82.9
3587,Trondheim,00 Boliger i alt,2012-06-01,"Prisindeks for brukte boliger, sesongjustert",85.7
3589,Trondheim,00 Boliger i alt,2012-09-01,"Prisindeks for brukte boliger, sesongjustert",87.7
3591,Trondheim,00 Boliger i alt,2012-12-01,"Prisindeks for brukte boliger, sesongjustert",90.1
3593,Trondheim,00 Boliger i alt,2013-03-01,"Prisindeks for brukte boliger, sesongjustert",92.6
3595,Trondheim,00 Boliger i alt,2013-06-01,"Prisindeks for brukte boliger, sesongjustert",91.0
3597,Trondheim,00 Boliger i alt,2013-09-01,"Prisindeks for brukte boliger, sesongjustert",92.1
3599,Trondheim,00 Boliger i alt,2013-12-01,"Prisindeks for brukte boliger, sesongjustert",91.0
3601,Trondheim,00 Boliger i alt,2014-03-01,"Prisindeks for brukte boliger, sesongjustert",91.6
3603,Trondheim,00 Boliger i alt,2014-06-01,"Prisindeks for brukte boliger, sesongjustert",94.7
3605,Trondheim,00 Boliger i alt,2014-09-01,"Prisindeks for brukte boliger, sesongjustert",94.4
3607,Trondheim,00 Boliger i alt,2014-12-01,"Prisindeks for brukte boliger, sesongjustert",97.9
3609,Trondheim,00 Boliger i alt,2015-03-01,"Prisindeks for brukte boliger, sesongjustert",97.6
3611,Trondheim,00 Boliger i alt,2015-06-01,"Prisindeks for brukte boliger, sesongjustert",100.0
3613,Trondheim,00 Boliger i alt,2015-09-01,"Prisindeks for brukte boliger, sesongjustert",101.1
3615,Trondheim,00 Boliger i alt,2015-12-01,"Prisindeks for brukte boliger, sesongjustert",101.4
3617,Trondheim,00 Boliger i alt,2016-03-01,"Prisindeks for brukte boliger, sesongjustert",103.9
3619,Trondheim,00 Boliger i alt,2016-06-01,"Prisindeks for brukte boliger, sesongjustert",104.6
3621,Trondheim,00 Boliger i alt,2016-09-01,"Prisindeks for brukte boliger, sesongjustert",108.6
3623,Trondheim,00 Boliger i alt,2016-12-01,"Prisindeks for brukte boliger, sesongjustert",110.7
3625,Trondheim,00 Boliger i alt,2017-03-01,"Prisindeks for brukte boliger, sesongjustert",111.5
3627,Trondheim,00 Boliger i alt,2017-06-01,"Prisindeks for brukte boliger, sesongjustert",110.9
3629,Trondheim,00 Boliger i alt,2017-09-01,"Prisindeks for brukte boliger, sesongjustert",110.4
3631,Trondheim,00 Boliger i alt,2017-12-01,"Prisindeks for brukte boliger, sesongjustert",109.2
3633,Trondheim,00 Boliger i alt,2018-03-01,"Prisindeks for brukte boliger, sesongjustert",109.7
3635,Trondheim,00 Boliger i alt,2018-06-01,"Prisindeks for brukte boliger, sesongjustert",111.4
3637,Trondheim,00 Boliger i alt,2018-09-01,"Prisindeks for brukte boliger, sesongjustert",110.1
