DK1,DK2,EE,FI,LT,LV,SE1,SE2,SE3,SE4,date,DK,SE
20882,11388,3633.0,,3377,,,,,,2013-01-01,32270,
26814,12516,1502.0,,2370,,,,,,2013-01-02,39330,
53823,19333,726.0,,2942,,,,,,2013-01-03,73156,
50590,15665,742.0,,2426,,,,,,2013-01-04,66255,
11754,1958,2058.0,,2098,,,,,,2013-01-05,13712,
15860,4432,714.0,,868,,,,,,2013-01-06,20292,
3594,1843,284.0,,164,,,,,,2013-01-07,5437,
3522,2696,2314.0,,957,,,,,,2013-01-08,6218,
14771,7133,1463.0,,1082,,,,,,2013-01-09,21904,
29442,10978,2241.0,,1202,,,,,,2013-01-10,40420,
12976,4906,3560.0,,1386,,,,,,2013-01-11,17882,
5590,2591,646.0,,1557,,,,,,2013-01-12,8181,
5613,3722,402.0,,78,,,,,,2013-01-13,9335,
12243,6751,1456.0,,69,,,,,,2013-01-14,18994,
5381,1176,438.0,,291,,,,,,2013-01-15,6557,
1665,1858,339.0,,1113,,,,,,2013-01-16,3523,
5704,3734,1684.0,,1554,,,,,,2013-01-17,9438,
20175,8912,1376.0,,472,,,,,,2013-01-18,29087,
26169,6745,167.0,,467,,,,,,2013-01-19,32914,
24170,6784,455.0,,730,,,,,,2013-01-20,30954,
48740,16761,907.0,,992,,,,,,2013-01-21,65501,
28988,12705,1648.0,,1166,,,,,,2013-01-22,41693,
5592,5890,556.0,,300,,,,,,2013-01-23,11482,
1694,2556,914.0,,162,,,,,,2013-01-24,4250,
13952,1518,1519.0,,408,,,,,,2013-01-25,15470,
33208,15130,3060.0,,2010,,,,,,2013-01-26,48338,
39515,13714,3413.0,,2462,,,,,,2013-01-27,53229,
39954,12998,3116.0,,1485,,,,,,2013-01-28,52952,
40227,14306,2200.0,,768,,,,,,2013-01-29,54533,
53919,15506,3742.0,,2789,,,,,,2013-01-30,69425,
41325,16301,1172.0,,4779,,,,,,2013-01-31,57626,
9254,5969,936.0,,695,,,,,,2013-02-01,15223,
12805,4738,432.0,,346,,,,,,2013-02-02,17543,
23569,7957,65.0,,473,,,,,,2013-02-03,31526,
45935,16172,1359.0,,1893,,,,,,2013-02-04,62107,
22550,12679,1979.0,,3590,,,,,,2013-02-05,35229,
12415,7546,1459.0,,2372,,,,,,2013-02-06,19961,
10716,2425,494.0,,563,,,,,,2013-02-07,13141,
12843,2769,1561.0,,778,,,,,,2013-02-08,15612,
7035,2132,393.0,,343,,,,,,2013-02-09,9167,
8236,1435,305.0,,552,,,,,,2013-02-10,9671,
21115,7127,645.0,,493,,,,,,2013-02-11,28242,
12660,5618,690.0,,669,,,,,,2013-02-12,18278,
2687,377,342.0,,1429,,,,,,2013-02-13,3064,
30265,3647,264.0,,504,,,,,,2013-02-14,33912,
11858,4321,28.0,,362,,,,,,2013-02-15,16179,
