,currency,sector,credit_source,time,variable,value
170,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-02-01,Innenlandsk lσnegjeld,1622.405
171,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-03-01,Innenlandsk lσnegjeld,1632.488
172,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-04-01,Innenlandsk lσnegjeld,1647.195
173,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-05-01,Innenlandsk lσnegjeld,1655.391
174,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-06-01,Innenlandsk lσnegjeld,1667.967
175,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-07-01,Innenlandsk lσnegjeld,1674.249
176,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-08-01,Innenlandsk lσnegjeld,1682.996
177,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-09-01,Innenlandsk lσnegjeld,1690.707
178,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-10-01,Innenlandsk lσnegjeld,1701.845
179,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-11-01,Innenlandsk lσnegjeld,1724.043
180,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2002-12-01,Innenlandsk lσnegjeld,1724.882
181,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-01-01,Innenlandsk lσnegjeld,1735.085
182,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-02-01,Innenlandsk lσnegjeld,1745.438
183,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-03-01,Innenlandsk lσnegjeld,1756.679
184,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-04-01,Innenlandsk lσnegjeld,1765.412
185,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-05-01,Innenlandsk lσnegjeld,1779.469
186,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-06-01,Innenlandsk lσnegjeld,1795.396
187,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-07-01,Innenlandsk lσnegjeld,1797.166
188,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-08-01,Innenlandsk lσnegjeld,1810.793
189,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-09-01,Innenlandsk lσnegjeld,1816.942
190,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-10-01,Innenlandsk lσnegjeld,1828.664
191,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-11-01,Innenlandsk lσnegjeld,1841.433
192,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2003-12-01,Innenlandsk lσnegjeld,1846.513
193,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-01-01,Innenlandsk lσnegjeld,1863.375
194,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-02-01,Innenlandsk lσnegjeld,1874.163
195,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-03-01,Innenlandsk lσnegjeld,1882.428
196,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-04-01,Innenlandsk lσnegjeld,1894.705
197,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-05-01,Innenlandsk lσnegjeld,1909.387
198,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-06-01,Innenlandsk lσnegjeld,1930.665
199,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-07-01,Innenlandsk lσnegjeld,1937.771
200,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-08-01,Innenlandsk lσnegjeld,1947.678
201,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-09-01,Innenlandsk lσnegjeld,1961.937
202,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-10-01,Innenlandsk lσnegjeld,1977.119
203,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-11-01,Innenlandsk lσnegjeld,1992.851
204,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2004-12-01,Innenlandsk lσnegjeld,2005.71
205,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-01-01,Innenlandsk lσnegjeld,2020.347
206,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-02-01,Innenlandsk lσnegjeld,2033.832
207,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-03-01,Innenlandsk lσnegjeld,2056.578
208,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-04-01,Innenlandsk lσnegjeld,2084.387
209,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-05-01,Innenlandsk lσnegjeld,2105.891
210,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-06-01,Innenlandsk lσnegjeld,2128.428
211,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-07-01,Innenlandsk lσnegjeld,2146.942
212,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-08-01,Innenlandsk lσnegjeld,2159.828
213,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-09-01,Innenlandsk lσnegjeld,2182.642
214,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-10-01,Innenlandsk lσnegjeld,2215.478
215,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-11-01,Innenlandsk lσnegjeld,2237.835
216,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2005-12-01,Innenlandsk lσnegjeld,2270.686
217,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2006-01-01,Innenlandsk lσnegjeld,2287.991
218,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2006-02-01,Innenlandsk lσnegjeld,2311.773
219,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2006-03-01,Innenlandsk lσnegjeld,2340.164
220,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2006-04-01,Innenlandsk lσnegjeld,2362.43
221,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2006-05-01,Innenlandsk lσnegjeld,2386.304
222,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2006-06-01,Innenlandsk lσnegjeld,2428.873
