,currency,sector,credit_source,time,variable,value
9081,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-09-01,Innenlandsk lσnegjeld,412.692
9082,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-10-01,Innenlandsk lσnegjeld,419.491
9083,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-11-01,Innenlandsk lσnegjeld,423.095
9084,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1998-12-01,Innenlandsk lσnegjeld,423.056
9085,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-01-01,Innenlandsk lσnegjeld,423.138
9086,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-02-01,Innenlandsk lσnegjeld,433.929
9087,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-03-01,Innenlandsk lσnegjeld,436.77
9088,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-04-01,Innenlandsk lσnegjeld,440.104
9089,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-05-01,Innenlandsk lσnegjeld,449.285
9090,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-06-01,Innenlandsk lσnegjeld,451.02
9091,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-07-01,Innenlandsk lσnegjeld,448.645
9092,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-08-01,Innenlandsk lσnegjeld,449.752
9093,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-09-01,Innenlandsk lσnegjeld,453.572
9094,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-10-01,Innenlandsk lσnegjeld,462.929
9095,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-11-01,Innenlandsk lσnegjeld,463.158
9096,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1999-12-01,Innenlandsk lσnegjeld,462.559
9097,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,2000-01-01,Innenlandsk lσnegjeld,466.213
