,currency,sector,credit_source,time,variable,value
16123,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-01-01,Innenlandsk lσnegjeld,474.472
16124,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-02-01,Innenlandsk lσnegjeld,474.003
16125,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-03-01,Innenlandsk lσnegjeld,476.574
16126,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-04-01,Innenlandsk lσnegjeld,479.833
16127,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-05-01,Innenlandsk lσnegjeld,484.544
16128,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-06-01,Innenlandsk lσnegjeld,489.684
16129,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-07-01,Innenlandsk lσnegjeld,494.562
16130,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-08-01,Innenlandsk lσnegjeld,497.885
16131,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-09-01,Innenlandsk lσnegjeld,509.747
16132,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-10-01,Innenlandsk lσnegjeld,510.669
16133,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-11-01,Innenlandsk lσnegjeld,517.444
16134,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1999-12-01,Innenlandsk lσnegjeld,525.291
16135,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-01-01,Innenlandsk lσnegjeld,527.503
16136,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-02-01,Innenlandsk lσnegjeld,531.23
16137,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-03-01,Innenlandsk lσnegjeld,538.358
16138,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-04-01,Innenlandsk lσnegjeld,545.161
16139,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-05-01,Innenlandsk lσnegjeld,551.306
16140,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-06-01,Innenlandsk lσnegjeld,558.333
16141,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-07-01,Innenlandsk lσnegjeld,563.488
16142,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-08-01,Innenlandsk lσnegjeld,569.845
16143,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-09-01,Innenlandsk lσnegjeld,577.783
16144,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-10-01,Innenlandsk lσnegjeld,582.997
16145,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-11-01,Innenlandsk lσnegjeld,589.223
16146,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2000-12-01,Innenlandsk lσnegjeld,592.332
16147,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-01-01,Innenlandsk lσnegjeld,595.289
16148,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-02-01,Innenlandsk lσnegjeld,597.023
16149,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-03-01,Innenlandsk lσnegjeld,603.612
16150,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-04-01,Innenlandsk lσnegjeld,608.27
16151,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-05-01,Innenlandsk lσnegjeld,616.89
16152,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-06-01,Innenlandsk lσnegjeld,623.483
16153,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-07-01,Innenlandsk lσnegjeld,628.066
16154,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-08-01,Innenlandsk lσnegjeld,633.623
16155,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-09-01,Innenlandsk lσnegjeld,639.815
16156,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-10-01,Innenlandsk lσnegjeld,647.276
16157,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-11-01,Innenlandsk lσnegjeld,654.883
16158,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2001-12-01,Innenlandsk lσnegjeld,659.954
16159,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-01-01,Innenlandsk lσnegjeld,662.502
16160,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-02-01,Innenlandsk lσnegjeld,664.84
16161,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-03-01,Innenlandsk lσnegjeld,669.465
16162,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-04-01,Innenlandsk lσnegjeld,678.914
16163,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-05-01,Innenlandsk lσnegjeld,686.078
16164,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-06-01,Innenlandsk lσnegjeld,693.213
16165,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-07-01,Innenlandsk lσnegjeld,699.698
16166,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-08-01,Innenlandsk lσnegjeld,705.688
16167,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-09-01,Innenlandsk lσnegjeld,712.593
16168,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,2002-10-01,Innenlandsk lσnegjeld,716.817
